state,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Alaska,19,17,19,30,17,15,25,28,24,20,32,26,25,16,27
Alabama,317,305,292,283,317,349,378,333,319,262,322,292,302,294,293
Arizona,251,254,259,271,228,333,354,387,377,342,324,355,332,274,303
Arkansas,152,166,145,132,157,145,153,155,154,141,123,146,110,140,118
California,1312,1362,1314,1342,1460,1569,1701,1883,1878,1808,1782,1810,1589,1483,1380
Colorado,106,115,101,97,108,109,91,104,115,131,117,116,98,84,121
Connecticut,66,114,96,98,78,87,67,92,66,64,56,57,72,61,84
Delaware,38,46,31,45,36,54,30,34,33,27,18,28,19,9,18
District of Columbia,61,55,77,84,104,122,129,120,142,137,156,176,141,138,145
Florida,816,862,817,767,804,886,935,803,631,647,660,635,573,467,545
Georgia,472,481,439,443,456,515,557,495,439,419,493,477,454,442,438
Hawaii,0,0,1,7,10,11,7,9,5,8,10,15,9,9,19
Idaho,14,18,16,12,10,13,29,24,28,16,19,15,25,14,16
Illinois,576,645,610,577,628,631,575,625,569,573,696,728,747,674,689
Indiana,298,251,202,223,245,235,251,264,257,224,247,242,290,218,271
Iowa,24,33,31,34,19,34,18,38,23,30,24,30,24,25,28
Kansas,79,67,81,68,92,77,71,73,61,85,78,74,91,101,88
Kentucky,138,159,133,125,133,160,152,111,152,152,115,127,138,133,142
Louisiana,446,428,431,432,449,430,488,443,457,480,473,467,400,427,342
Maine,13,15,15,13,15,12,15,15,8,11,6,8,7,11,15
Maryland,299,294,276,306,316,379,424,416,422,386,394,365,363,353,396
Massachusetts,84,73,128,126,110,98,115,105,108,106,78,94,80,67,71
Michigan,493,579,511,440,495,489,506,536,491,488,477,489,499,504,516
Minnesota,76,61,59,65,46,71,70,78,88,85,75,55,68,77,54
Mississippi,215,216,221,205,197,245,219,222,175,202,201,208,224,214,214
Missouri,293,311,303,335,319,360,265,295,293,257,219,253,275,273,244
Montana,14,10,14,17,21,16,15,11,17,12,20,9,20,17,17
Nebraska,55,46,41,41,31,49,43,31,28,24,31,27,21,41,29
Nevada,88,77,84,90,97,100,131,131,115,123,114,114,109,89,100
New Hampshire,0,13,10,0,0,0,6,12,8,11,8,5,9,8,7
New Jersey,298,276,288,260,229,244,276,301,288,253,257,208,185,172,153
New Mexico,82,80,73,76,92,86,78,73,77,81,87,81,67,99,91
New York,380,436,466,527,505,508,522,570,515,516,589,550,583,602,540
North Carolina,412,422,380,376,407,467,458,439,451,411,396,467,418,458,459
North Dakota,0,0,0,0,0,0,5,1,3,6,12,3,5,5,7
Ohio,447,437,453,396,366,402,413,451,408,340,321,353,316,253,256
Oklahoma,178,188,166,331,148,147,151,152,136,124,139,113,126,115,150
Oregon,54,53,62,60,55,49,43,63,54,65,52,64,47,62,60
Pennsylvania,486,547,512,501,483,524,554,593,535,504,467,456,444,439,428
Rhode Island,18,15,12,17,14,19,13,19,19,18,21,25,20,27,21
South Carolina,244,273,253,229,235,249,255,274,235,220,236,227,228,169,223
South Dakota,0,0,10,0,10,10,5,3,7,7,4,5,7,1,9
Tennessee,309,327,309,293,347,336,343,330,371,286,299,323,307,343,286
Texas,912,894,812,913,1003,1006,1029,1033,1009,923,974,889,873,804,794
Utah,33,28,27,27,30,24,40,29,33,30,37,27,40,16,30
Vermont,0,0,0,0,0,0,9,8,7,2,7,3,7,4,8
Virginia,233,224,231,271,272,251,308,284,353,295,336,286,275,284,280
Washington,116,127,88,114,118,127,124,123,141,122,111,110,106,112,108
West Virginia,43,66,61,47,57,37,46,57,57,52,60,66,38,56,62
Wisconsin,115,126,86,106,103,81,132,110,159,93,140,122,134,112,128
Wyoming,0,0,12,0,10,4,8,5,11,5,7,8,8,5,5