state,year,population,index,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,assault_crime,burglary_crime,larceny_theft_crime,vehicle_theft_crime
Alaska,2016,714146,24796,4537,20259,31,533,594,3379,3105,15535,1619
Alaska,2015,723860,23510,4416,19094,30,436,576,3374,2852,14854,1388
Alaska,2014,730307,24449,4412,20037,30,583,630,3169,2950,15565,1522
Alaska,2013,737259,25920,4709,21211,34,657,623,3127,2917,16599,1695
Alaska,2012,737046,25018,4684,20334,41,553,629,3243,3150,15445,1739
Alaska,2011,737709,26197,5391,20806,59,648,761,3671,3511,15249,2046
Alaska,2010,741894,30842,5966,24876,52,757,850,4011,4053,17766,3057
Alabama,2016,4785401,187191,18363,168828,275,1355,4864,11869,42484,115564,10780
Alabama,2015,4803689,193358,20166,173192,299,1370,4906,13591,51119,111411,10662
Alabama,2014,4817528,190571,21693,168878,342,1296,5020,15035,47481,111523,9874
Alabama,2013,4833996,182669,20834,161835,346,1449,4645,13788,42410,108862,10563
Alabama,2012,4846411,174814,20727,154087,276,1425,4702,13744,39723,104223,10141
Alabama,2011,4853875,167742,22957,144785,348,1449,4612,15960,35265,99182,10338
Alabama,2010,4863300,169248,25886,143362,407,1385,4686,18877,34065,97574,11723
Arizona,2016,6413158,253330,26528,226802,408,2191,6953,16976,50932,154137,21733
Arizona,2015,6467315,256685,26789,229896,397,2499,7145,16748,54695,155400,19801
Arizona,2014,6551149,259778,28077,231701,358,2282,7383,18054,52911,159808,18982
Arizona,2013,6634997,250870,27576,223294,355,2344,6656,17391,48292,158036,16966
Arizona,2012,6728783,239828,26422,213406,311,2356,6225,16614,43412,152683,17311
Arizona,2011,6817565,235152,27968,207184,306,2268,6360,18193,38010,152388,16786
Arizona,2010,6931071,239015,32583,206432,380,2452,7055,21858,37736,150275,18421
Arkansas,2016,2921588,118531,14711,103820,134,1321,2369,10887,32463,65796,5561
Arkansas,2015,2938582,124603,14173,110430,160,1230,2357,10426,34016,70645,5769
Arkansas,2014,2949828,123240,13851,109389,174,1233,2310,10134,32673,70982,5734
Arkansas,2013,2958765,120182,13705,106477,158,1135,2261,9796,30369,70430,5678
Arkansas,2012,2966835,113700,14248,99452,175,1291,2037,10220,24816,69001,5635
Arkansas,2011,2977853,113160,15769,97391,189,1425,2117,11455,22851,68720,5820
Arkansas,2010,2988248,114134,16461,97673,216,1545,2120,11982,23771,66747,7155
California,2016,37338198,1146072,164133,981939,1809,8331,58116,95877,228857,600558,152524
California,2015,37683933,1128765,154943,973822,1792,7665,54291,91195,230075,596905,146842
California,2014,37999878,1210409,160944,1049465,1884,7837,56521,94702,245767,635090,168608
California,2013,38431393,1173646,154739,1018907,1746,7464,53640,89029,232058,621557,165292
California,2012,38792291,1100956,153763,947193,1700,8389,48681,91804,202669,592673,151851
California,2011,38993940,1191797,166883,1024914,1861,9341,52862,99349,197404,656517,170993
California,2010,39250017,1176866,174796,1002070,1930,10149,54789,104375,188304,637010,176756
Colorado,2016,5047692,151340,16339,135001,129,2230,3164,10816,26196,97534,11271
Colorado,2015,5116302,148866,16085,132781,155,2285,3299,10346,25725,96054,11002
Colorado,2014,5189458,155306,15951,139355,152,2122,3392,10285,26163,101091,12101
Colorado,2013,5272086,156073,16099,139974,174,2198,3136,9826,25075,102375,12524
Colorado,2012,5355588,152276,16487,135789,150,2236,3037,10211,23502,99688,12599
Colorado,2011,5448819,161392,17348,144044,173,2422,3315,10532,23490,104532,16022
Colorado,2010,5540545,170833,18983,151850,204,2619,3528,11696,23903,108336,19611
Connecticut,2016,3575498,88342,10083,78259,133,595,3553,5802,15145,56413,6701
Connecticut,2015,3586717,87094,9889,77205,129,689,3689,5382,15468,55067,6670
Connecticut,2014,3591765,87352,10183,77169,117,933,3709,5424,14787,55904,6478
Connecticut,2013,3599341,80713,9439,71274,91,647,3551,4906,12934,52099,6241
Connecticut,2012,3594762,77901,8575,69326,89,579,3172,4520,12017,51195,6114
Connecticut,2011,3584730,73548,7938,65610,116,585,2925,4099,10286,48898,6426
Connecticut,2010,3576452,72787,8123,64664,78,561,2703,4579,10045,47512,7107
Delaware,2016,899792,36686,5608,31078,51,326,1839,3392,7550,21593,1935
Delaware,2015,908137,36307,5144,31163,48,307,1558,3231,7617,22001,1545
Delaware,2014,917053,35755,5048,30707,56,249,1498,3245,7389,21880,1438
Delaware,2013,925240,33634,4633,29001,41,278,1233,2960,6299,21347,1355
Delaware,2012,935968,32483,4568,27915,50,274,1271,2857,5765,20885,1265
Delaware,2011,944076,30305,4760,25545,62,257,1240,3097,4797,19555,1193
Delaware,2010,952065,31178,4844,26334,56,221,1359,3121,5023,19791,1520
District Of Columbia,2016,604912,36828,8026,28802,132,187,4325,3382,4233,19514,5055
District Of Columbia,2015,619020,37087,7433,29654,108,173,4094,3058,3850,21347,4457
District Of Columbia,2014,633427,38623,7866,30757,88,236,4037,3505,3519,23575,3663
District Of Columbia,2013,649111,39512,8415,31097,103,297,4082,3835,3316,24547,3234
District Of Columbia,2012,659836,42346,8199,34147,105,349,3497,4125,3466,26898,3783
District Of Columbia,2011,670377,39982,8538,31444,162,365,3746,4136,2971,25208,3265
District Of Columbia,2010,681170,40930,8214,32716,139,401,3480,4063,2361,27382,2973
Florida,2016,18838613,771004,101969,669035,987,5373,26086,69523,169119,458454,41462
Florida,2015,19082262,769398,98198,671200,984,5273,25622,66319,170171,461408,39621
Florida,2014,19320749,727075,94087,632988,1009,5260,23889,63929,153563,442095,37330
Florida,2013,19600311,699163,91993,607170,972,4765,23200,61054,138915,433344,34911
Florida,2012,19905569,675119,91345,583774,982,5038,21621,61610,121379,426197,36198
Florida,2011,20244914,663895,93625,570270,1041,5396,21137,63895,109268,420341,40661
Florida,2010,20612439,642512,88700,553812,1111,5528,20175,59816,100325,410352,43135
Georgia,2016,9712157,392517,39068,353449,555,2107,12372,24034,96947,226161,30341
Georgia,2015,9812460,393997,36762,357235,549,2066,12266,21881,96014,231543,29678
Georgia,2014,9915646,377148,37675,339473,583,2143,12502,22447,86992,223875,28606
Georgia,2013,9994759,377327,37519,339808,563,2022,12704,21361,83459,229190,27159
Georgia,2012,10097132,378101,38955,339146,607,2209,12786,22415,78029,233359,27758
Georgia,2011,10199398,354904,38891,316013,622,2343,12545,22467,68149,220715,27149
Georgia,2010,10310371,350760,40990,309770,681,2528,12205,24595,63344,219625,26801
Hawaii,2016,1363359,49270,3603,45667,25,377,1065,2136,8706,31681,5280
Hawaii,2015,1378129,47339,3465,43874,20,353,994,2098,8165,31240,4469
Hawaii,2014,1390090,46797,3378,43419,21,279,1125,1953,7653,31901,3865
Hawaii,2013,1408987,48851,3585,45266,32,366,934,2111,7777,32928,4561
Hawaii,2012,1420257,49384,3362,46022,20,388,952,1842,7470,33003,5549
Hawaii,2011,1425157,48919,3530,45389,29,382,1085,1878,6810,33140,5439
Hawaii,2010,1428557,47170,4417,42753,35,447,994,2769,6017,31082,5654
Idaho,2016,3050202,76931,8191,68740,38,883,1012,6258,16746,48194,3800
Idaho,2015,3064097,79926,7883,72043,44,866,824,6149,17573,50472,3998
Idaho,2014,3075039,78524,8167,70357,49,901,962,6255,17201,49116,4040
Idaho,2013,3092341,76419,8443,67976,41,873,937,6332,15918,47803,4255
Idaho,2012,3109481,73584,8484,65100,60,829,1047,6227,14363,46594,4143
Idaho,2011,3121997,73307,8619,64688,73,877,1050,6291,14977,45328,4383
Idaho,2010,3134693,74501,9110,65391,71,922,1148,6644,15030,45378,4983
Illinois,2016,1571102,34900,3464,31436,22,533,213,2696,6513,23594,1329
Illinois,2015,1583744,36077,3202,32875,35,444,188,2535,6915,24629,1331
Illinois,2014,1595590,35173,3348,31825,30,495,243,2580,7240,23203,1382
Illinois,2013,1612843,33701,3471,30230,29,516,220,2548,6693,21999,1538
Illinois,2012,1634806,33879,3439,30440,32,463,203,2559,6466,22297,1677
Illinois,2011,1652828,32505,3593,28912,32,508,191,2667,6124,20916,1872
Illinois,2010,1683140,33233,3876,29357,49,529,213,2895,6318,20962,2077
Indiana,2016,12841980,406196,57132,349064,704,3066,20386,32976,77472,242681,28911
Indiana,2015,12859752,398991,54523,344468,781,3030,20217,30495,77719,237362,29387
Indiana,2014,12868192,386262,53556,332706,770,3581,19480,29725,71100,235314,26292
Indiana,2013,12890552,348004,51956,296048,722,3895,17733,28161,59093,216059,20896
Indiana,2012,12882189,317422,47775,269647,690,3182,15271,27485,50759,201003,17885
Indiana,2011,12839047,306717,49755,256962,754,3602,15056,29019,46846,192424,17692
Indiana,2010,12801539,318160,55854,262306,1054,3635,17827,32065,47989,194407,19910
Iowa,2016,6490622,220257,20983,199274,268,1760,6559,12396,48570,137204,13500
Iowa,2015,6516353,227635,21619,206016,306,1758,6977,12578,50571,140630,14815
Iowa,2014,6537782,220538,22544,197994,307,1661,6601,13975,47689,136668,13637
Iowa,2013,6570713,211099,23627,187472,357,1623,7114,13915,42754,130534,14184
Iowa,2012,6597880,199014,24105,174909,333,1608,6894,14681,36909,124144,13856
Iowa,2011,6612768,197251,25373,171878,370,1757,7081,15536,34404,123940,13534
Iowa,2010,6633053,198604,26845,171759,439,1851,7330,16575,34097,122931,14731
Kansas,2016,2859143,99711,10602,89109,97,1146,1538,7821,19315,63774,6020
Kansas,2015,2870386,98864,10209,88655,111,1122,1448,7528,18712,63259,6684
Kansas,2014,2885398,101358,10292,91066,85,1105,1493,7609,18874,65413,6779
Kansas,2013,2895801,95632,9928,85704,117,1003,1339,7177,17476,61557,6671
Kansas,2012,2902507,90264,10235,80029,92,1066,1361,7299,15921,57169,6939
Kansas,2011,2906721,91542,11483,80059,126,1226,1823,7850,15619,57435,7005
Kansas,2010,2907289,89427,11060,78367,111,971,1671,7966,14364,57066,6937
Kentucky,2016,4347223,121774,10604,111170,188,1438,3748,5230,30433,74488,6239
Kentucky,2015,4366814,129502,10465,119037,151,1499,3705,5110,32750,79586,6701
Kentucky,2014,4379730,122652,9852,112800,201,1312,3547,4792,29877,76199,6724
Kentucky,2013,4399583,113728,9280,104448,172,951,3247,4215,26331,72048,6069
Kentucky,2012,4412617,109404,9495,99909,164,1098,3343,4432,23426,70108,6375
Kentucky,2011,4424611,107432,9887,97545,219,1165,3314,4710,22526,67143,7876
Kentucky,2010,4436974,107466,10308,97158,260,1174,3369,5038,20834,66438,9886
Louisiana,2016,4545343,190908,25241,165667,500,1230,5297,18214,45437,110260,9970
Louisiana,2015,4574766,193902,25373,168529,506,1262,5235,18370,46242,113174,9113
Louisiana,2014,4602134,185512,22839,162673,489,1155,5458,15737,42037,112764,7872
Louisiana,2013,4629284,189806,24127,165679,494,1248,5539,16331,41214,115300,9165
Louisiana,2012,4648990,185175,23983,161192,476,981,5725,16400,38541,113251,9400
Louisiana,2011,4668960,182910,25202,157708,492,1246,5561,17416,35457,112520,9731
Louisiana,2010,4681666,180888,26502,154386,554,1328,5576,18556,34667,109380,10339
Maine,2016,1327379,34521,1621,32900,24,389,412,796,7364,24547,989
Maine,2015,1328544,35467,1638,33829,26,394,370,848,7865,24886,1078
Maine,2014,1328501,35024,1626,33398,26,372,420,808,7476,24931,991
Maine,2013,1328702,32215,1761,30454,24,366,335,907,6480,23063,911
Maine,2012,1330256,28125,1698,26427,21,346,304,889,5035,20591,801
Maine,2011,1329453,26087,1726,24361,23,337,311,931,4694,18853,814
Maine,2010,1331479,23560,1648,21912,20,300,266,950,4003,17134,775
Maryland,2016,5785681,204916,31607,173309,426,1228,11054,18999,36704,118578,18027
Maryland,2015,5839572,195663,28817,166846,399,1200,10342,16876,35823,114951,16072
Maryland,2014,5884868,190395,28086,162309,373,1237,10173,16303,33803,113550,14956
Maryland,2013,5938737,186153,28235,157918,384,1179,10048,16124,31950,112551,13417
Maryland,2012,5975346,177157,26767,150390,362,1144,9565,15208,28134,109140,13116
Maryland,2011,5994983,170732,28185,142547,538,1209,10111,15819,26432,102701,13414
Maryland,2010,6016447,165845,28400,137445,481,1266,10289,15874,24692,100919,11834
Massachusetts,2016,6555466,185233,30737,154496,214,1784,6897,21842,37903,105124,11469
Massachusetts,2015,6607003,177061,28232,148829,184,1654,6768,19626,36403,101644,10782
Massachusetts,2014,6645303,170372,27047,143325,121,1650,6555,18721,34635,99453,9237
Massachusetts,2013,6708874,164538,27264,137274,138,1722,6705,18118,30716,97437,9121
Massachusetts,2012,6755124,152170,26689,125481,133,1625,6077,18277,24951,92226,8304
Massachusetts,2011,6784240,141000,26453,114547,131,1538,5266,18974,21826,84676,8045
Massachusetts,2010,6811779,132016,25677,106339,134,1592,5365,18050,19193,79088,8058
Michigan,2016,9877143,320194,48693,271501,580,4733,11522,31858,74345,169748,27408
Michigan,2015,9876801,295060,43731,251329,617,4344,10263,28507,69755,156666,24908
Michigan,2014,9882519,294211,44962,249249,701,4635,10423,29203,65560,158609,25080
Michigan,2013,9898193,274892,44757,230135,625,4506,10093,27254,56256,149794,24085
Michigan,2012,9916306,245247,42555,202692,544,4500,8037,27610,44328,137142,21222
Michigan,2011,9917715,232903,41712,191191,585,4782,7818,26599,40375,132019,18797
Michigan,2010,9928300,235192,45572,189620,598,5114,7120,30729,39568,129876,20176
Minnesota,2016,5310658,148946,12515,136431,96,1798,3388,7233,24415,103429,8587
Minnesota,2015,5347299,148506,12323,136183,75,2113,3385,6750,25681,102354,8148
Minnesota,2014,5379646,150571,12419,138152,99,1638,3475,7207,25378,104316,8458
Minnesota,2013,5420380,143295,12100,131195,114,1403,3674,6909,22713,100516,7966
Minnesota,2012,5457125,137882,12505,125377,88,1448,3687,6729,20773,96237,8367
Minnesota,2011,5482435,135303,13319,121984,133,1679,3771,7094,19299,94704,7981
Minnesota,2010,5519952,131150,13394,117756,101,1731,3728,7217,18606,90422,8728
Mississippi,2016,2970072,96595,7999,88596,204,931,2777,4087,30453,52784,5360
Mississippi,2015,2977457,97818,8009,89809,232,863,2496,4418,30722,54179,4908
Mississippi,2014,2986450,91702,7769,83933,213,819,2277,4460,28084,51520,4329
Mississippi,2013,2992206,89851,8303,81548,217,726,2413,4649,24969,52192,4387
Mississippi,2012,2993443,95218,8331,86887,259,768,2405,4585,23898,58515,4474
Mississippi,2011,2989390,93975,8190,85785,253,851,2312,4467,25068,56446,4271
Mississippi,2010,2988726,91115,8383,82732,238,905,2397,4471,23354,55054,4324
Missouri,2016,5995715,228298,27440,200858,420,1445,6185,19390,44197,140526,16135
Missouri,2015,6008984,225973,26888,199085,366,1469,6275,18778,44875,138879,15331
