State, Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft
Alabama, 2010,   4785401,      18363,         275,       1355,,       4864,      11869,     168828,      42484,     115564,      10780
Alabama, 2011,   4803689,      20166,         299,       1370,,       4906,      13591,     173192,      51119,     111411,      10662
Alabama, 2012,   4817528,      21693,         342,       1296,,       5020,      15035,     168878,      47481,     111523,       9874 
Alabama, 2013,   4833996,      20834,         346,       1449,       2055,       4645,      13788,     161835,      42410,     108862,      10563 
Alabama, 2014,   4849377,      20727,         276,       1436,       2005,       4701,      13745,     154094,      39715,     104238,      10141 
Alaska, 2010,     714146,       4537,          31,         533,,         594,       3379,      20259,       3105,      15535,       1619
Alaska, 2011,     723860,       4416,          30,         436,,         576,       3374,      19094,       2852,      14854,       1388
Alaska, 2012,     730307,       4412,          30,         583,,         630,       3169,      20037,       2950,      15565,       1522 
Alaska, 2013,     737259,       4709,          34,         657,         925,         623,       3127,      21211,       2917,      16599,       1695 
Alaska, 2014,     736732,       4684,          41,         555,         771,         629,       3243,      20334,       3150,      15445,       1739 
Arizona, 2010,   6413158,      26528,         408,       2191,,       6953,      16976,     226802,      50932,     154137,      21733
Arizona, 2011,   6467315,      26789,         397,       2499,,       7145,      16748,     229896,      54695,     155400,      19801
Arizona, 2012,   6551149,      28077,         358,       2282,,       7383,      18054,     231701,      52911,     159808,      18982 
Arizona, 2013,   6634997,      27576,         355,       2344,       3174,       6656,      17391,     223294,      48292,     158036,      16966 
Arizona, 2014,   6731484,      26916,         319,       2464,       3378,       6249,      16970,     215240,      43562,     154091,      17587 
Arkansas, 2010,   2921588,      14711,         134,       1321,,       2369,      10887,     103820,      32463,      65796,       5561
Arkansas, 2011,   2938582,      14173,         160,       1230,,       2357,      10426,     110430,      34016,      70645,       5769
Arkansas, 2012,   2949828,      13851,         174,       1233,,       2310,      10134,     109389,      32673,      70982,       5734 
Arkansas, 2013,   2958765,      13705,         158,       1135,       1490,       2261,       9796,     106477,      30369,      70430,       5678 
Arkansas, 2014,   2966369,      14243,         165,       1182,       1763,       2050,      10265,      99018,      24790,      68627,       5601 
California, 2010,  37338198,     164133,       1809,       8331,,      58116,      95877,     981939,     228857,     600558,     152524
California, 2011,  37683933,     154943,       1792,       7665,,      54291,      91195,     973822,     230075,     596905,     146842
California, 2012,  37999878,     160944,       1884,       7837,,      56521,      94702,   1049465,     245767,     635090,     168608 
California, 2013,  38431393,     154739,       1746,       7464,      10324,      53640,      89029,   1018907,     232058,     621557,     165292 
California, 2014,  38802500,     153709,       1699,       8398,      11527,      48680,      91803,     947192,     202670,     592670,     151852 
Colorado, 2010,   5047692,      16339,         129,       2230,,       3164,      10816,     135001,      26196,      97534,      11271
Colorado, 2011,   5116302,      16085,         155,       2285,,       3299,      10346,     132781,      25725,      96054,      11002
Colorado, 2012,   5189458,      15951,         152,       2122,,       3392,      10285,     139355,      26163,     101091,      12101 
Colorado, 2013,   5272086,      16099,         174,       2198,       2963,       3136,       9826,     139974,      25075,     102375,      12524 
Colorado, 2014,   5355866,      16554,         151,       2121,       3039,       3039,      10325,     135510,      23472,      99464,      12574 
Connecticut, 2010,   3575498,      10083,         133,         595,,       3553,       5802,      78259,      15145,      56413,       6701
Connecticut, 2011,   3586717,       9889,         129,         689,,       3689,       5382,      77205,      15468,      55067,       6670
Connecticut, 2012,   3591765,      10183,         117,         933,,       3709,       5424,      77169,      14787,      55904,       6478 
Connecticut, 2013,   3599341,       9439,          91,         647,         891,       3551,       4906,      71274,      12934,      52099,       6241 
Connecticut, 2014,   3596677,       8522,          86,         571,         782,       3159,       4495,      69070,      11955,      51005,       6110 
Delaware, 2010,     899792,       5608,          51,         326,,       1839,       3392,      31078,       7550,      21593,       1935
Delaware, 2011,     908137,       5144,          48,         307,,       1558,       3231,      31163,       7617,      22001,       1545
Delaware, 2012,     917053,       5048,          56,         249,,       1498,       3245,      30707,       7389,      21880,       1438 
Delaware, 2013,     925240,       4633,          41,         278,         399,       1233,       2960,      29001,       6299,      21347,       1355 
Delaware, 2014,     935614,       4576,          54,         249,         386,       1269,       2867,      27900,       5768,      20865,       1267 
District of Columbia, 2010,     604912,       8026,         132,         187,,       4325,       3382,      28802,       4233,      19514,       5055
District of Columbia, 2011,     619020,       7433,         108,         173,,       4094,       3058,      29654,       3850,      21347,       4457
District of Columbia, 2012,     633427,       7866,          88,         236,,       4037,       3505,      30757,       3519,      23575,       3663 
District of Columbia, 2013,     649111,       8415,         103,         297,         395,       4082,       3835,      31097,       3316,      24547,       3234 
District of Columbia, 2014,     658893,       8199,         105,         352,         472,       3497,       4125,      34147,       3466,      26898,       3783 
Florida, 2010,  18838613,     101969,         987,       5373,,      26086,      69523,     669035,     169119,     458454,      41462
Florida, 2011,  19082262,      98198,         984,       5273,,      25622,      66319,     671200,     170171,     461408,      39621
Florida, 2012,  19320749,      94087,       1009,       5260,,      23889,      63929,     632988,     153563,     442095,      37330 
Florida, 2013,  19600311,      91993,         972,       4765,       6767,      23200,      61054,     607170,     138915,     433344,      34911 
Florida, 2014,  19893297,     107521,       1149,       6051,       8563,      24914,      72895,     679446,     143220,     493647,      42579 
Georgia, 2010,   9712157,      39068,         555,       2107,,      12372,      24034,     353449,      96947,     226161,      30341
Georgia, 2011,   9812460,      36762,         549,       2066,,      12266,      21881,     357235,      96014,     231543,      29678
Georgia, 2012,   9915646,      37675,         583,       2143,,      12502,      22447,     339473,      86992,     223875,      28606 
Georgia, 2013,   9994759,      37519,         563,       2022,       2891,      12704,      21361,     339808,      83459,     229190,      27159 
Georgia, 2014,  10097343,      38097,         580,       2159,       3048,      12417,      22052,     331316,      76428,     228034,      26854 
Hawaii, 2010,   1363359,       3603,          25,         377,,       1065,       2136,      45667,       8706,      31681,       5280
Hawaii, 2011,   1378129,       3465,          20,         353,,         994,       2098,      43874,       8165,      31240,       446 
Hawaii, 2012,   1390090,       3378,          21,         279,,       1125,       1953,      43419,       7653,      31901,       3865 
Hawaii, 2013,   1408987,       3585,          32,         366,         508,         934,       2111,      45266,       7777,      32928,       4561 
Hawaii, 2014,   1419561,       3680,          26,         314,         445,       1107,       2102,      43297,       7778,      31640,       3879 
Idaho, 2010,   1571102,       3464,          22,         533,,         213,       2696,      31436,       6513,      23594,       1329
Idaho, 2011,   1583744,       3202,          35,         444,,         188,       2535,      32875,       6915,      24629,       1331
Idaho, 2012,   1595590,       3348,          30,         495,,         243,       2580,      31825,       7240,      23203,       1382 
Idaho, 2013,   1612843,       3471,          29,         516,         674,         220,       2548,      30230,       6693,      21999,       1538 
Idaho, 2014,   1634464,       3468,          32,         468,         609,         204,       2623,      30316,       6428,      22227,       1661 
Illinois, 2010,  12841980,      57132,         704,       3066,,      20386,      32976,     349064,      77472,     242681,      28911
Illinois, 2011,  12859752,      54523,         781,       3030,,      20217,      30495,     344468,      77719,     237362,      29387
Illinois, 2012,  12868192,      53556,         770,       3581,,      19480,      29725,     332706,      71100,     235314,      26292 
Illinois, 2013,  12890552,      51956,         722,       3895,       5340,      17733,      28161,     296048,      59093,     216059,      20896 
Illinois, 2014,  12880580,      47663,         685,       3081,       4159,      15299,      27520,     267385,      50008,     199926,      17451 
Indiana, 2010,   6490622,      20983,         268,       1760,,       6559,      12396,     199274,      48570,     137204,      13500
Indiana, 2011,   6516353,      21619,         306,       1758,,       6977,      12578,     206016,      50571,     140630,      14815
Indiana, 2012,   6537782,      22544,         307,       1661,,       6601,      13975,     197994,      47689,     136668,      13637 
Indiana, 2013,   6570713,      23627,         357,       1623,       2241,       7114,      13915,     187472,      42754,     130534,      14184 
Indiana, 2014,   6596855,      24099,         330,       1615,       2186,       6897,      14686,     174776,      36893,     124022,      13861 
Iowa, 2010,   3050202,       8191,          38,         883,,       1012,       6258,      68740,      16746,      48194,       3800
Iowa, 2011,   3064097,       7883,          44,         866,,         824,       6149,      72043,      17573,      50472,       399 
Iowa, 2012,   3075039,       8167,          49,         901,,         962,       6255,      70357,      17201,      49116,       4040 
Iowa, 2013,   3092341,       8443,          41,         873,       1133,         937,       6332,      67976,      15918,      47803,       4255 
Iowa, 2014,   3107126,       8497,          60,         828,       1128,       1045,       6264,      65056,      14428,      46477,       4151 
Kansas, 2010,   2859143,      10602,          97,       1146,,       1538,       7821,      89109,      19315,      63774,       6020
Kansas, 2011,   2870386,      10209,         111,       1122,,       1448,       7528,      88655,      18712,      63259,       6684
Kansas, 2012,   2885398,      10292,          85,       1105,,       1493,       7609,      91066,      18874,      65413,       6779 
Kansas, 2013,   2895801,       9928,         117,       1003,       1295,       1339,       7177,      85704,      17476,      61557,       6671 
Kansas, 2014,   2904021,      10123,          91,       1075,       1411,       1362,       7259,      79431,      15828,      56697,       6906 
Kentucky, 2010,   4347223,      10604,         188,       1438,,       3748,       5230,     111170,      30443,      74488,       6239
Kentucky, 2011,   4366814,      10465,         151,       1499,,       3705,       5110,     119037,      32750,      79586,       6701
Kentucky, 2012,   4379730,       9852,         201,       1312,,       3547,       4792,     112800,      29877,      76199,       6724 
Kentucky, 2013,   4399583,       9280,         172,         951,       1646,       3247,       4215,     104448,      26331,      72048,       6069 
Kentucky, 2014,   4413457,       9340,         160,         883,       1440,       3336,       4404,      99166,      23244,      69604,       6318 
Louisiana, 2010,   4545343,      25241,         500,       1230,,       5297,      18214,     165667,      45437,     110260,       9970
Louisiana, 2011,   4574766,      25373,         506,       1262,,       5235,      18370,     168529,      46242,     113174,       9113
Louisiana, 2012,   4602134,      22839,         489,       1155,,       5458,      15737,     162673,      42037,     112764,       7872 
Louisiana, 2013,   4629284,      24127,         494,       1248,       1763,       5539,      16331,     165679,      41214,     115300,       9165 
Louisiana, 2014,   4649676,      23934,         477,         992,       1375,       5695,      16387,     160824,      38337,     112596,       9891 
Maine, 2010,   1327379,       1621,          24,         389,,         412,         796,      32900,       7364,      24547,         989
Maine, 2011,   1328544,       1638,          26,         394,,         370,         848,      33829,       7865,      24886,       1078 
Maine, 2012,   1328501,     1626,          26,         372,,         420,         808,      33398,       7476,      24931,         991 
Maine, 2013,   1328702,       1761,          24,         366,         495,         335,         907,      30454,       6480,      23063,         911 
Maine, 2014,   1330089,       1700,          21,         360,         485,         304,         890,      26421,       5030,      20592,         799 
Maryland, 2010,   5785681,      31607,         426,       1228,,      11054,      18899,     173309,      36704,     118578,      18027
Maryland, 2011,   5839572,      28817,         399,       1200,,      10342,      16876,     166846,      35823,     114951,      16072
Maryland, 2012,   5884868,      28086,         373,       1237,,      10173,      16303,     162309,      33803,     113550,      14956 
Maryland, 2013,   5938737,      28235,         384,       1179,       1679,      10048,      16124,     157918,      31950,     112551,      13417 
Maryland, 2014,   5976407,      26661,         365,       1144,       1619,       9544,      15133,     149859,      28012,     108745,      13102 
Massachusetts, 2010,   6555466,      30737,         214,       1784,,       6897,      21842,     154496,      37903,     105124,      11469
Massachusetts, 2011,   6607003,      28232,         184,       1654,,       6768,      19626,     148829,      36403,     101644,      10782
Massachusetts, 2012,   6645303,      27047,         121,       1650,,       6555,      18721,     143325,      34635,      99453,       9237 
Massachusetts, 2013,   6708874,      27264,         138,       1722,       2303,       6705,      18118,     137274,      30716,      97437,       9121 
Massachusetts, 2014,   6745408,      26399,         132,       1629,       2180,       6036,      18051,     125267,      24964,      92043,       8260 
Michigan, 2010,   9877143,      48693,         580,       4733,,      11522,      31858,     271501,      74345,     169748,      27408
Michigan, 2011,   9876801,      43731,         617,       4344,,      10263,      28507,     251329,      69755,     156666,      24908
Michigan, 2012,   9882519,      44962,         701,       4635,,      10423,      29203,     249249,      65560,     158609,      25080 
Michigan, 2013,   9898193,      44757,         625,       4506,       6785,      10093,      27254,     230135,      56256,     149794,      24085 
Michigan, 2014,   9909877,      42348,         535,       4049,       6273,       8021,      27519,     202547,      44184,     137206,      21157 
Minnesota, 2010,   5310658,      12515,          96,       1798,,       3388,       7233,     136431,      24415,     103429,       8587
Minnesota, 2011,   5347299,      12323,          75,       2113,,       3385,       6750,     136183,      25681,     102354,       8148
Minnesota, 2012,   5379646,      12419,          99,       1638,,       3475,       7207,     138152,      25378,     104316,       8458 
Minnesota, 2013,   5422060,      12710,         114,       1453,       2014,       3674,       6908,     131193,      22713,     100514,       7966 
Minnesota, 2014,   5457173,      12505,          88,       1452,       2001,       3687,       6729,     125377,      20773,      96237,       8367 
Mississippi, 2010,   2970072,       7999,         204,         931,,       2777,       4087,      88596,      30453,      52784,       5359
Mississippi, 2011,   2977457,       8009,         232,         863,,       2496,       4418,      89809,      30722,      54179,       4908
Mississippi, 2012,   2986450,       7769,         213,         819,,       2277,       4460,      83933,      28084,      51520,       4329 
Mississippi, 2013,   2992206,       8303,         217,         726,       1024,       2413,       4649,      81548,      24969,      52192,       4387 
Mississippi, 2014,   2994079,       8338,         258,         764,       1058,       2430,       4592,      87462,      24352,      58591,       4519 
Missouri, 2010,   5995715,      27440,         420,       1445,,       6185,      19390,     200858,      44197,     140526,      16135
Missouri, 2011,   6008984,      26888,         366,       1469,,       6275,      18778,     199085,      44875,     138879,      15331
Missouri, 2012,   6024522,      27189,         390,       1527,,       5782,      19490,     199813,      42510,     140971,      16332 
Missouri, 2013,   6044917,      26216,         369,       1679,       2305,       5486,      18056,     189655,      38797,     134514,      16344 
Missouri, 2014,   6063589,      26856,         403,       1706,       2379,       5592,      18482,     176237,      35258,     124622,      16357 
Montana, 2010,     990958,       2733,          25,         332,,         154,       2222,      25409,       3692,      20166,       1551
Montana, 2011,     997667,       2755,          29,         366,,         171,       2189,      23885,       3347,      19089,       1449
Montana, 2012,   1005494,       2803,          29,         392,,         202,       2180,      26102,       3920,      20484,       1698 
Montana, 2013,   1014864,       2924,          23,         382,         467,         217,       2217,      26195,       4122,      20192,       1881 
Montana, 2014,   1023579,       3313,          37,         430,         541,         203,       2532,      25312,       3595,      19674,       2043 
Nebraska, 2010,   1830141,       5093,          54,         674,,       1020,       3345,      48827,       8318,      36896,       3613
Nebraska, 2011,   1842234,       4672,          68,         699,,         993,       2912,      50894,       8725,      38060,       410 
Nebraska, 2012,   1855350,       4802,          52,         710,,       1128,       2912,      51203,       8745,      38301,       4157 
Nebraska, 2013,   1868969,       4949,          56,         621,         847,       1035,       3011,      49197,       8945,      35791,       4461 
Nebraska, 2014,   1881503,       5275,          54,         620,         862,       1043,       3316,      47479,       7950,      35074,       4455 
Nevada, 2010,   2704283,      17929,         158,         965,,       5298,      11508,      75004,      22286,      42533,      10185
Nevada, 2011,   2720028,      15452,         139,         913,,       4308,      10092,      70075,      20342,      40156,       9577
Nevada, 2012,   2754354,      16763,         124,         931,,       4918,      10790,      77510,      22120,      45372,      10018 
Nevada, 2013,   2791494,      16888,         163,       1090,       1482,       5183,      10060,      79177,      23047,      46132,       9998 
Nevada, 2014,   2839099,      18045,         170,         995,       1357,       5954,      10564,      74538,      21927,      42426,      10185 
New Hampshire, 2010,   1316807,       2204,          13,         411,,         450,       1330,      29230,       5444,      22789,         997
New Hampshire, 2011,   1317807,       2864,          16,         581,,         509,       1758,      32756,       6244,      25398,       1114 
New Hampshire, 2012,   1321617,       2841,          15,         486,,         471,       1869,      32074,       5988,      25024,       1062 
New Hampshire, 2013,   1322616,       2952,          21,         522,         778,         647,       1506,      29278,       4979,      23355,         944 
New Hampshire, 2014,   1326813,       2602,          12,         458,         594,         537,       1459,      26041,       4162,      21022,         857 
New Jersey, 2010,   8799593,      27055,         371,         981,,      11818,      13885,     183042,      38732,     128754,      15556
New Jersey, 2011,   8834773,      27203,         380,       1006,,      12209,      13608,     189719,      43238,     129066,      17415 
New Jersey, 2012,   8867749,      25727,         388,       1035,,      11385,      12919,     181481,      42338,     122662,      16481 
New Jersey, 2013,   8911502,      25748,         404,         861,       1189,      12084,      12071,     167634,      35883,     118005,      13746 
New Jersey, 2014,   8938175,      23346,         349,         953,       1274,      10498,      11225,     154993,      31710,     111578,      11705 
New Mexico, 2010,   2065913,      12147,         140,         959,,       1616,       9432,      70776,      21023,      44503,       5250
New Mexico, 2011,   2078674,      11904,         158,         856,,       1720,       9170,      73549,      21419,      46730,       5400
New Mexico, 2012,   2083540,      11660,         116,         957,,       1847,       8740,      75094,      21384,      48247,       5463 
New Mexico, 2013,   2086895,      12990,         123,       1135,       1565,       1832,       9470,      78958,      21828,      51146,       5984 
New Mexico, 2014,   2085572,      12459,         101,       1071,       1475,       2086,       8797,      73877,      18505,      49082,       6290 
New York, 2010,  19395206,      76492,         868,       2797,,      28630,      44197,     379710,      65839,     293232,      20639
New York, 2011,  19501616,      77463,         769,       2751,,      28405,      45538,     371837,      65227,     287361,      19249
New York, 2012,  19576125,      79535,         683,       2837,,      28633,      47382,     375268,      64389,     293562,      17317 
New York, 2013,  19695680,      77563,         644,       2575,       3548,      27241,      46130,     358603,      56444,     286676,      15483 
New York, 2014,  19746227,      75398,         617,       3918,       5433,      24045,      45303,     339282,      50781,     272765,      15736 
North Carolina, 2010,   9560234,      34679,         474,       2002,,       9620,      22583,     329202,     102826,     208057,      18319
North Carolina, 2011,   9651103,      33421,         498,       1959,,       9448,      21516,     337806,     105534,     215453,      16819
North Carolina, 2012,   9748364,      34464,         479,       1984,,       9392,      22609,     328594,      99323,     213151,      16120 
North Carolina, 2013,   9848917,      33587,         463,       1790,       2524,       9275,      21325,     305631,      90182,     201043,      14406 
North Carolina, 2014,   9943964,      32767,         510,       1740,       2420,       8416,      21421,     285697,      79373,     192694,      13630 
North Dakota, 2010,     674629,       1548,          10,         245,,          90,       1203,      12010,       2000,       9137,         873
North Dakota, 2011,     684740,       1699,          24,         266,,          91,       1318,      13334,       2458,       9891,         985
North Dakota, 2012,     701345,       1723,          25,         279,,         127,       1292,      14297,       2429,      10687,       1181 
North Dakota, 2013,     723857,       1979,          16,         288,         355,         161,       1447,      15356,       2979,      10942,       1435 
North Dakota, 2014,     739482,       1960,          22,         276,         358,         173,       1407,      15605,       2707,      11384,       1514 
Ohio, 2010,  11537968,      36306,         479,       3730,,      16486,      15611,     376836,     107125,     248581,      21130
Ohio, 2011,  11541007,      35218,         500,       3679,,      15991,      15048,     380572,     112901,     246744,      20927
Ohio, 2012,  11553031,      34827,         478,       3813,,      15396,      15140,     370435,     105312,     245372,      19751 
Ohio, 2013,  11572005,      33722,         478,       3594,       4391,      14483,      14370,     338414,      91090,     227799,      19525 
Ohio, 2014,  11594163,      33030,         464,       4097,       5042,      12753,      14771,     324528,      78845,     227668,      18015 
Oklahoma, 2010,   3760184,      18100,         195,       1469,,       3345,      13091,     129464,      37848,      81303,      10313
Oklahoma, 2011,   3784163,      17311,         212,       1410,,       3288,      12401,     127618,      36462,      80064,      11092
Oklahoma, 2012,   3815780,      18102,         220,       1622,,       3248,      13012,     130969,      36094,      83131,      11744 
Oklahoma, 2013,   3853118,      17187,         198,       1715,       2314,       3023,      11652,     126418,      33512,      81624,      11282 
Oklahoma, 2014,   3878051,      15744,         175,       1277,       1777,       3048,      10744,     115982,      29508,      75891,      10583 
Oregon, 2010,   3838332,       9648,          96,       1239,,       2421,       5892,     116657,      20035,      87494,       9128
Oregon, 2011,   3868229,       9643,          84,       1239,,       2237,       6083,     121869,      20704,      92059,       9106
Oregon, 2012,   3899801,       9638,          91,       1159,,       2419,       5969,     126417,      22051,      94114,      10252 
Oregon, 2013,   3928068,       9536,          82,       1000,       1464,       2394,       5596,     125083,      20808,      94363,       9912 
Oregon, 2014,   3970239,       9224,          81,       1052,       1458,       2093,       5592,     114305,      17230,      87526,       9549 
Pennsylvania, 2010,  12717722,      46612,         653,       3472,,      16375,      26112,     276366,      55206,     204440,      16720
Pennsylvania, 2011,  12743948,      46189,         639,       3339,,      16165,      26046,     283442,      57966,     208604,      16872
Pennsylvania, 2012,  12764475,      45384,         707,       3371,,      15735,      25571,     276562,      57040,     204409,      15113 
Pennsylvania, 2013,  12781296,      42825,         611,       2728,       3795,      14739,      23680,     263176,      52000,     197410,      13766 
Pennsylvania, 2014,  12787209,      40164,         614,       2787,       3827,      13534,      22189,     247016,      45720,     188256,      13040 
Rhode Island, 2010,   1052528,       2709,          29,         298,,         782,       1600,      26959,       6124,      18432,       2403
Rhode Island, 2011,   1050646,       2586,          20,         319,,         744,       1503,      27976,       6836,      18765,       2375
Rhode Island, 2012,   1050304,       2657,          36,         292,,         715,       1614,      27039,       5929,      18478,       2632 
Rhode Island, 2013,   1053354,       2710,          31,         333,         449,         683,       1547,      25741,       5621,      17881,       2239 
Rhode Island, 2014,   1055173,       2313,          25,         253,         361,         529,       1398,      22935,       4823,      16279,       1833 
South Carolina, 2010,   4637106,      27923,         265,       1551,,       5017,      21090,     181098,      46261,     121544,      13293
South Carolina, 2011,   4673348,      27894,         320,       1678,,       4631,      21265,     183243,      47351,     122255,      13637
South Carolina, 2012,   4723417,      26474,         332,       1712,,       4511,      19919,     181049,      45222,     122340,      13487 
South Carolina, 2013,   4771929,      24263,         305,       1739,       2233,       3965,      17760,     173261,      40930,     119730,      12601 
South Carolina, 2014,   4832482,      24052,         311,       1480,       2068,       3997,      17676,     167217,      36721,     117594,      12902 
South Dakota, 2010,     816598,       2196,          23,         385,,         154,       1634,      15188,       3192,      11196,         800
South Dakota, 2011,     823593,       2105,          20,         503,,         167,       1415,      15299,       2927,      11423,         949
South Dakota, 2012,     834047,       2701,          23,         600,,         157,       1921,      17326,       3280,      12973,       1073 
South Dakota, 2013,     845510,       2733,          18,         454,         507,         156,       2052,      16274,       3383,      11955,         936 
South Dakota, 2014,     853175,       2786,          20,         413,         470,         200,       2096,      15902,       2818,      12077,       1007 
Tennessee, 2010,   6357436,      38909,         359,       2173,,       8361,      28016,     232855,      64293,     153729,      14833
Tennessee, 2011,   6399787,      38895,         380,       2095,,       8082,      28338,     230900,      62830,     153928,      14142
Tennessee, 2012,   6454914,      41213,         400,       2047,,       8151,      30615,     217925,      56231,     148731,      12963 
Tennessee, 2013,   6497269,      38063,         335,       1904,       2500,       7333,      27895,     207683,      51334,     144443,      11906 
Tennessee, 2014,   6549352,      39848,         371,       1861,       2531,       7265,      29681,     200447,      46642,     141206,      12599 
Texas, 2010,  25253466,     113231,       1249,       7622,,      32843,      71517,     951246,     228597,     654626,      68023
Texas, 2011,  25631778,     104734,       1130,       7486,,      28620,      67498,     892810,     215755,     613131,      63924
Texas, 2012,  26060796,     106475,       1148,       7715,,      30385,      67227,     876459,     205002,     606425,      65032 
Texas, 2013,  26505637,     108757,       1140,       7610,      10456,      31810,      65351,     862289,     191062,     605440,      65787 
Texas, 2014,  26956958,     109414,       1184,       8236,      11393,      31181,      65656,     813934,     169234,     576154,      68546 
Utah, 2010,   2775479,       5925,          53,         983,,       1269,       3620,      88316,      15095,      67242,       5979
Utah, 2011,   2814347,       5547,          50,         901,,       1079,       3517,      84084,      13170,      64727,       6187
Utah, 2012,   2854871,       5939,          52,         975,,       1105,       3807,      86284,      13095,      67157,       6032 
Utah, 2013,   2902787,       6644,          51,         926,       1522,       1247,       3824,      88334,      13727,      67115,       7492 
Utah, 2014,   2942902,       6346,          67,         945,       1454,       1312,       3513,      84711,      11518,      65895,       7298 
Vermont, 2010,     625909,         820,           7,         141,,          76,         596,      14160,       3348,      10373,         439
Vermont, 2011,     626592,         925,          11,         146,,          99,         669,      15086,       3838,      10720,         528
Vermont, 2012,     625953,         891,           8,         131,,         114,         638,      15653,       4179,      11014,         460 
Vermont, 2013,     626855,         775,          10,         113,         136,          75,         554,      13882,       3352,      10193,         337 
Vermont, 2014,     626562,         622,          10,          99,         110,          70,         432,       9551,       2034,       7273,         244 
Virginia, 2010,   8023953,      17184,         376,       1580,,       5678,       9550,     187403,      30804,     145990,      10609
Virginia, 2011,   8104384,      16014,         304,       1591,,       5425,       8694,     182902,      30656,     142476,       9770
Virginia, 2012,   8186628,      15676,         322,       1505,,       4718,       9131,     178434,      29651,     139654,       9129 
Virginia, 2013,   8270345,      16355,         320,       1476,       2350,       4574,       9111,     171558,      26717,     136215,       8626 
Virginia, 2014,   8326289,      16340,         338,       1432,       2310,       4292,       9400,     160720,      23122,     129933,       7665 
Washington, 2010,   6742950,      21138,         154,       2579,,       5929,      12476,     249426,      55192,     168490,      25744
Washington, 2011,   6823267,      20152,         163,       2320,,       5627,      12042,     244209,      56561,     162828,      24820
Washington, 2012,   6895318,      20553,         217,       2250,,       5801,      12285,     254377,      61376,     166338,      26663 
Washington, 2013,   6973742,      20223,         167,       2072,       2604,       5829,      11623,     259139,      58487,     172227,      28425 
Washington, 2014,   7061530,      20136,         174,       2171,       2695,       5640,      11627,     261706,      55290,     175769,      30647 
West Virginia, 2010,   1854368,       5586,          58,         362,,         776,       4390,      41301,      10778,      28104,       2419
West Virginia, 2011,   1854908,       5497,          87,         372,,         802,       4236,      39009,      10245,      26656,       2108
West Virginia, 2012,   1856680,       5943,          70,         415,,         835,       4623,      44500,      11466,      30800,       2234 
West Virginia, 2013,   1853595,       5657,          62,         367,         700,         653,       4242,      39929,       9908,      28055,       1966 
West Virginia, 2014,   1850326,       5588,          74,         285,         505,         651,       4358,      37648,       8973,      26779,       1896 
Wisconsin, 2010,   5691659,      14167,         155,       1191,,       4516,       8305,     142781,      26636,     107993,       8152
Wisconsin, 2011,   5709843,      14268,         138,       1190,,       4600,       8340,     139912,      27167,     104472,       8273
Wisconsin, 2012,   5724554,      16254,         169,       1228,,       4692,      10165,     140780,      27931,     104619,       8230 
Wisconsin, 2013,   5742953,      16118,         163,       1308,       1836,       4834,       9285,     125694,      24358,      93946,       7390 
Wisconsin, 2014,   5757564,      16714,         165,       1168,       1674,       5066,       9809,     120238,      21216,      89103,       9919 
Wyoming, 2010,     564554,       1117,           8,         162,,          77,         870,      13869,       2151,      11126,         592
Wyoming, 2011,     567356,       1245,          18,         146,,          71,       1010,      12878,       1864,      10493,         521 
Wyoming, 2012,     576626,       1161,          14,         154,,          61,         932,      13222,       2125,      10513,         584 
Wyoming, 2013,     583223,       1212,          17,         144,         204,          74,         917,      12809,       1956,      10275,         578 
Wyoming, 2014,     584153,       1142,          16,         126,         174,          53,         899,      11477,       1689,       9185,         603